V1,V2,V3
BW,176,0
L,26,1
W,16,4
W,28,6
K,86,3
O,19,1
BW,156,0
AU,14,0
AI,20,0
AJ,14,3
AU,58,0
AJ,40,2
BW,157,1
BD,3,0
BW,115,0
AO,1,15
BO,36,0
BW,95,0
AO,28,0
BW,163,1
AU,14,0
AH,7,0
K,7,1
AJ,64,1
I,29,1
BH,20,4
BW,107,0
BT,72,2
BV,8,1
AH,8,1
P,2,0
L,57,0
AU,26,0
X,3,4
K,13,8
K,35,4
BU,5,0
L,14,3
AO,12,1
Q,43,3
Y,32,2
BV,24,2
AO,20,4
BO,38,3
X,45,3
BW,163,1
AU,35,0
BW,69,1
W,16,6
BW,95,0
AL,14,0
AL,24,0
K,62,3
BO,66,1
AQ,17,2
BW,42,0
BT,63,5
AH,119,0
AJ,14,1
AJ,38,1
AU,58,0
AR,41,2
BW,174,0
AL,101,0
W,28,7
K,7,3
BW,96,0
AJ,49,1
P,2,0
AU,14,1
Y,32,0
BB,6,3
R,30,12
K,3,2
BW,48,0
BO,52,1
AO,28,0
K,60,0
R,30,12
K,65,5
AJ,49,1
BY,4,4
BO,38,1
AJ,52,0
BW,36,1
AO,13,1
Y,32,0
BO,38,2
AJ,49,1
AU,14,1
K,7,3
L,26,1
AL,72,0
BW,157,1
AJ,54,1
K,7,5
BO,71,2
K,81,2
BW,49,1
BY,4,0
Y,10,0
AJ,38,1
K,7,5
BO,38,1
Y,4,3
X,21,1
Z,38,0
K,2,2
AV,7,1
Y,9,0
BW,159,1
X,45,9
X,45,10
Z,31,0
AU,11,3
AU,35,0
W,4,6
AJ,122,2
BO,36,3
X,45,10
AJ,122,3
AQ,17,1
X,49,6
K,60,1
BW,115,0
AI,2,0
AJ,52,1
AU,30,0
AJ,35,0
Y,9,0
AJ,17,5
BO,36,0
BW,49,0
BW,115,0
K,61,0
Y,9,0
AQ,17,2
Y,4,0
AU,58,0
W,16,5
BT,69,5
BW,157,1
BW,66,0
AI,47,0
BW,95,0
R,32,14
P,35,0
Y,4,0
AU,58,0
K,7,1
BH,18,5
AO,6,1
AJ,129,0
X,12,4
AJ,35,0
BW,112,0
AH,19,1
AJ,52,0
K,81,0
BP,23,0
BH,29,1
AJ,129,0
AH,8,1
D,21,0
AQ,14,1
BU,38,5
X,45,4
AJ,123,2
AH,164,0
BW,126,0
W,28,7
K,13,2
D,21,0
BW,96,0
BW,48,1
AV,9,1
BW,79,1
AU,11,1
AH,101,0
BV,11,0
K,65,2
X,24,3
Y,4,0
AL,21,0
AR,41,1
BH,7,0
K,81,1
Y,32,0
AJ,38,0
AH,101,0
AV,10,2
O,10,3
BU,3,1
I,15,1
AL,42,0
AN,16,0
X,45,2
Y,34,0
AJ,38,0
BW,34,2
AH,168,1
X,3,2
O,10,3
AU,16,0
AJ,58,3
AJ,129,0
Y,32,2
X,9,4
AU,27,0
AJ,9,1
K,3,4
K,7,1
AJ,35,1
AU,58,0
L,49,1
Y,34,1
BO,38,4
M,16,2
AO,7,4
BT,63,7
AJ,129,3
AJ,48,1
AJ,64,2
K,35,0
AR,41,5
BW,157,1
BV,10,0
BW,160,1
AL,46,0
AH,75,1
AJ,14,3
AH,69,0
AL,14,0
BW,157,1
AU,14,0
P,1,0
AJ,7,1
W,16,3
AU,77,0
K,65,5
K,81,0
AU,35,0
K,7,4
AU,14,2
K,7,5
BF,36,4
BW,160,1
W,16,5
X,41,0
AU,14,1
BW,157,1
AU,11,3
P,2,0
BO,47,1
AU,40,0
AN,2,1
AH,125,0
AR,17,0
BW,167,0
Y,34,3
R,30,15
AR,43,0
BO,44,1
AU,73,0
AO,7,4
BH,29,2
Y,4,0
AQ,31,0
BV,17,2
L,29,5
Y,38,1
BW,92,0
K,2,4
AR,1,2
AU,68,0
BU,5,0
BW,3,0
AJ,129,3
AX,2,1
Q,40,0
AJ,58,2
BO,36,0
AZ,21,0
AU,40,0
AQ,32,0
AJ,35,0
BG,4,1
Y,4,0
K,68,1
Y,29,0
K,7,1
K,7,3
P,45,0
BO,52,1
AU,14,0
BP,6,0
BH,20,9
Y,32,2
Y,29,0
BF,36,2
AJ,40,2
AQ,17,1
L,29,2
BN,3,0
AJ,58,2
BO,72,2
K,7,6
R,20,3
AR,41,2
AJ,58,2
K,35,4
Y,42,0
BW,157,1
BW,3,0
AU,49,0
W,16,3
BW,3,0
BV,17,4
BH,7,2
Y,29,3
BH,18,5
W,28,1
BN,3,0
AR,16,0
K,81,2
AU,25,0
BV,24,2
K,79,1
AH,106,0
BW,3,0
BW,166,0
BP,8,0
AJ,14,1
AO,7,7
AJ,113,3
K,40,3
R,24,4
AJ,52,1
AU,58,0
AU,11,3
BO,44,2
K,7,3
K,7,3
AI,16,0
BO,36,0
AJ,58,2
BW,95,0
X,9,2
BU,5,0
Y,42,2
X,45,10
BH,20,4
AU,49,0
K,65,6
AH,168,1
Q,22,4
AJ,49,1
BP,6,0
L,29,0
AJ,52,0
AU,54,1
Y,29,0
AU,14,0
X,41,0
BW,49,1
BF,36,3
K,7,4
X,45,9
BO,20,1
BW,167,0
AH,7,0
Y,2,0
D,11,2
AU,14,0
X,38,0
AJ,40,1
AJ,43,0
X,12,4
BW,95,0
AJ,15,1
AJ,77,1
AU,58,0
AX,1,1
R,49,3
AJ,35,1
O,23,0
K,7,0
W,16,3
K,68,1
K,35,4
AJ,48,1
X,49,6
Y,9,3
X,45,8
R,30,2
K,51,1
AU,14,2
BO,38,3
AJ,122,1
BW,112,0
X,45,2
K,7,0
BP,8,0
AU,14,0
AQ,39,0
X,24,8
X,3,6
K,7,3
Q,3,1
R,23,7
K,86,3
L,29,0
BW,48,1
BO,47,1
X,38,5
BW,42,0
K,7,2
AJ,48,1
X,24,3
Q,3,1
AJ,48,1
O,11,5
D,25,8
BD,2,0
K,7,1
K,34,3
W,16,4
Y,10,0
X,24,1
K,82,0
BW,126,0
BF,36,2
BH,18,1
W,4,5
I,41,4
AJ,7,1
K,13,8
Y,9,1
AU,25,0
AH,137,0
K,82,0
BH,20,4
